dataset,scenario,score_source,rows,positive_count,predicted_positive_count,precision,recall,f1,roc_auc,pr_auc,models_used,meta_selected_source,meta_matched_dataset
uci_ecoli_rare_class,real,knn_distance,336,2,17,0.0,0.0,0.0,0.453593,0.010409,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_ecoli_rare_class,real,autoencoder,336,2,17,0.0,0.0,0.0,0.338323,0.006602,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_ecoli_rare_class,real,lstm,336,2,17,0.0,0.0,0.0,0.799401,0.02145,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_ecoli_rare_class,real,flatline,336,2,17,0.0,0.0,0.0,0.497006,0.008808,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_ecoli_rare_class,real,temporal_change,336,2,17,0.117647,1.0,0.210526,0.982784,0.208333,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_ecoli_rare_class,real,freeze,336,2,11,0.0,0.0,0.0,0.721557,0.013889,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_yeast_rare_class,real,ensemble,1484,5,75,0.053333,0.8,0.1,0.961596,0.073939,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_yeast_rare_class,real,iforest,1484,5,75,0.066667,1.0,0.125,0.99405,0.222632,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_yeast_rare_class,real,ocsvm,1484,5,74,0.0,0.0,0.0,0.846112,0.012462,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_yeast_rare_class,real,lof,1484,5,75,0.013333,0.2,0.025,0.76998,0.014852,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_yeast_rare_class,real,knn_distance,1484,5,75,0.0,0.0,0.0,0.833266,0.011574,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_yeast_rare_class,real,autoencoder,1484,5,75,0.0,0.0,0.0,0.805003,0.009797,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_yeast_rare_class,real,lstm,1484,5,75,0.0,0.0,0.0,0.445166,0.004375,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_yeast_rare_class,real,flatline,1484,5,75,0.0,0.0,0.0,0.101961,0.002284,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_yeast_rare_class,real,temporal_change,1484,5,75,0.053333,0.8,0.1,0.961866,0.076016,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_yeast_rare_class,real,freeze,1484,5,75,0.0,0.0,0.0,0.352603,0.002911,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
